flux	loglam	ivar	and_mask	or_mask	wdisp	sky	model
382.25153	3.5947	0.013195675	0	0	0.9638605	3.3888931	427.11438
410.35928	3.5948	0.011609251	0	0	0.96372825	3.5544775	458.52063
428.7087	3.5949	0.010839401	0	0	0.9635959	3.0856931	463.75052
441.93268	3.595	0.01030616	0	0	0.96346354	2.1972742	460.8885
442.1949	3.5951	0.010304204	0	0	0.96333146	1.6931487	463.25974
448.159	3.5952	0.010215778	0	0	0.9631991	2.0524697	468.89935
439.7126	3.5953	0.010416152	0	0	0.963067	3.174775	471.49683
437.8363	3.5954	0.010446093	0	0	0.96293473	4.3336024	471.28238
448.83594	3.5955	0.010177618	0	0	0.96280247	4.9083633	471.17902
450.15793	3.5956	0.010113332	0	0	0.96267015	4.926676	469.96344
441.38205	3.5957	0.010374303	0	0	0.9625379	4.857667	468.58044
438.49313	3.5958	0.010481354	0	0	0.96240556	5.036275	472.46414
437.99274	3.5959	0.010529518	0	0	0.9622734	5.320029	476.46075
452.63107	3.596	0.009980529	0	0	0.9621411	5.2832327	466.2073
434.73077	3.5961	0.010705497	0	0	0.96200883	4.9836473	467.84225
427.17816	3.5962	0.010942456	0	0	0.9618768	4.8023276	465.216
421.43558	3.5963	0.011246184	0	0	0.96174455	4.9805503	461.28113
423.97205	3.5964	0.011189335	0	0	0.9616122	5.40931	460.50272
423.50073	3.5965	0.011305377	0	0	0.96148	5.54565	459.14615
408.839	3.5966	0.011833684	0	0	0.9613478	5.1194205	451.73346
396.23615	3.5967	0.01239277	0	0	0.9612156	4.558406	452.12933
397.44754	3.5968	0.012390195	0	0	0.96108335	4.4517493	447.93655
388.37476	3.5969	0.012734981	0	0	0.9609511	4.7412825	439.97708
389.71182	3.597	0.012760737	0	0	0.96081895	4.634041	430.99506
375.00244	3.5971	0.013500242	0	0	0.96068674	4.164657	420.9634
375.20007	3.5972	0.013704712	0	0	0.9605546	3.8811953	409.59607
360.273	3.5973	0.014463813	0	0	0.9604226	3.8519483	400.59952
349.03506	3.5974	0.01519726	0	0	0.9602903	3.9243724	389.86548
345.4258	3.5975	0.015631529	0	0	0.9601581	3.9866138	370.88037
332.5715	3.5976	0.016448677	0	0	0.96002585	4.000028	347.5345
317.39722	3.5977	0.01754679	0	0	0.95989364	3.9630244	326.7899
315.55746	3.5978	0.017930249	0	0	0.95976156	3.8556998	308.63815
297.32327	3.5979	0.019433606	0	0	0.9596292	3.6020246	290.82858
273.967	3.598	0.022020927	0	0	0.9594973	3.1249416	259.06262
242.99332	3.5981	0.026384281	0	0	0.9593651	2.5966952	233.66655
204.59694	3.5982	0.033802345	0	0	0.95923287	2.4088364	201.04814
171.22192	3.5983	0.042410336	0	0	0.9591007	2.6641269	152.10081
151.3909	3.5984	0.04944719	0	0	0.95896864	2.973944	126.339165
146.77298	3.5985	0.051314317	0	0	0.95883656	2.7709167	129.19737
160.36977	3.5986	0.046898674	0	0	0.95870435	1.9878508	145.27779
189.72604	3.5987	0.038073	0	0	0.95857227	1.313753	171.07254
218.89775	3.5988	0.031230671	0	0	0.9584403	1.5924001	202.49623
247.10547	3.5989	0.02623528	0	0	0.9583081	2.6361382	232.58292
271.25714	3.599	0.02296931	0	0	0.9581758	3.3364978	258.1788
287.3867	3.5991	0.020948458	0	0	0.9580437	3.4208136	286.6762
302.4734	3.5992	0.019443756	0	0	0.9579116	3.4487557	309.69708
315.98727	3.5993	0.018142834	0	0	0.9577795	3.8117127	330.6362
330.35086	3.5994	0.016987203	0	0	0.95764744	4.4295545	349.4323
341.04883	3.5995	0.016103242	0	0	0.95751536	4.9452558	364.1933
350.73828	3.5996	0.0153985135	0	0	0.9573833	5.101047	378.61923
367.6901	3.5997	0.014421481	0	0	0.9572512	4.979624	395.7033
370.7905	3.5998	0.014184289	0	0	0.95711917	4.796402	406.30264
376.61044	3.5999	0.013845523	0	0	0.9569872	4.6742883	410.6163
387.2261	3.6	0.013285379	0	0	0.95685506	4.543958	414.9219
391.59045	3.6001	0.012993911	0	0	0.956723	4.167984	421.8323
396.62448	3.6002	0.012745612	0	0	0.9565909	4.1117854	426.19885
404.72116	3.6003	0.012447898	0	0	0.9564589	4.4069953	430.8005
406.60696	3.6004	0.0123179015	0	0	0.95632684	4.5178246	443.53668
407.85233	3.6005	0.012286154	0	0	0.9561948	4.1483693	443.03653
413.29855	3.6006	0.0120991	0	0	0.9560628	3.5290272	442.0222
410.9752	3.6007	0.012096553	0	0	0.9559307	3.176063	453.8866
419.29874	3.6008	0.011794829	0	0	0.9557989	3.4668384	453.60742
426.05853	3.6009	0.011500227	0	0	0.9556669	4.397366	454.1864
426.4393	3.601	0.011382315	0	0	0.9555349	4.7700324	456.8549
435.6204	3.6011	0.011170161	0	0	0.9554029	4.0461526	456.64554
427.45593	3.6012	0.011370209	0	0	0.9552708	3.4621456	455.4012
432.38528	3.6013	0.011210516	0	0	0.95513886	3.6553862	455.37222
443.25446	3.6014	0.010795863	0	0	0.95500696	4.088456	452.3206
443.48123	3.6015	0.010778218	0	0	0.954875	4.131355	450.93073
446.64377	3.6016	0.010615118	0	0	0.95474285	3.7495685	451.60577
451.74243	3.6017	0.010512412	0	0	0.95461094	3.456609	457.2588
448.13025	3.6018	0.010611071	0	0	0.95447904	3.5526407	457.0907
443.95813	3.6019	0.010777655	0	0	0.95434713	3.8482776	449.69333
446.2529	3.602	0.010664166	0	0	0.9542152	4.1802993	456.5897
446.46347	3.6021	0.010732793	0	0	0.9540832	4.535481	458.27975
449.57965	3.6022	0.010551864	0	0	0.95395124	4.6816983	455.03906
456.99313	3.6023	0.010394711	0	0	0.95381933	4.4735713	451.9371
453.0693	3.6024	0.010487607	0	0	0.9536875	4.0343924	451.197
447.14615	3.6025	0.010630615	0	0	0.95355564	3.7128417	453.459
460.69904	3.6026	0.010221822	0	0	0.9534237	3.8742652	457.4239
461.00235	3.6027	0.010151473	0	0	0.9532918	4.4295506	452.28708
458.62457	3.6028	0.010210735	0	0	0.95315987	4.9476304	454.0666
460.32535	3.6029	0.010164633	0	0	0.9530281	5.462738	459.1776
452.24893	3.603	0.010432546	0	0	0.9528962	5.82246	463.13144
462.9886	3.6031	0.010083957	0	0	0.9527644	5.9851527	464.8986
474.1598	3.6032	0.009815298	0	0	0.95263255	5.969761	463.60266
469.07983	3.6033	0.009907033	0	0	0.9525005	5.688291	463.2962
465.07648	3.6034	0.009999119	0	0	0.95236874	5.309736	465.9095
466.53	3.6035	0.010048447	0	0	0.9522369	5.2949963	466.8581
460.78323	3.6036	0.010172148	0	0	0.9521051	5.6788063	467.92862
465.5227	3.6037	0.01005478	0	0	0.9519733	5.6766453	471.90668
472.33673	3.6038	0.009859631	0	0	0.9518415	4.845864	473.23087
460.364	3.6039	0.010230054	0	0	0.95170957	4.6599927	467.9377
460.99915	3.604	0.010272171	0	0	0.9515778	4.79146	463.81146
459.52454	3.6041	0.010290177	0	0	0.95144624	4.670631	461.38617
457.62375	3.6042	0.010361227	0	0	0.95131433	5.1423345	459.33453
464.02615	3.6043	0.01011507	0	0	0.95118254	6.017264	457.10797
473.63864	3.6044	0.009844935	0	0	0.9510509	6.304466	453.46674
478.7485	3.6045	0.009703476	0	0	0.95091903	5.792994	444.26804
476.0363	3.6046	0.009771676	0	0	0.9507872	5.375049	437.40143
459.87177	3.6047	0.010310224	0	0	0.9506556	5.643806	439.32272
470.48672	3.6048	0.009947652	0	0	0.95052373	5.6185603	447.42545
463.1669	3.6049	0.010168584	0	0	0.95039207	5.3188972	452.87897
464.91583	3.605	0.01017124	0	0	0.9502603	5.323285	451.12692
467.47818	3.6051	0.010043753	0	0	0.9501287	5.2067647	455.88483
467.40784	3.6052	0.010076561	0	0	0.94999707	4.868352	458.89795
471.18216	3.6053	0.009960788	0	0	0.94986534	4.8732796	458.23184
466.42325	3.6054	0.010049981	0	0	0.94973356	5.3101363	458.0772
463.72696	3.6055	0.010121885	0	0	0.94960195	5.2488246	460.04645
484.27487	3.6056	0.009493846	0	0	0.9494702	4.2409873	461.0488
466.78726	3.6057	0.010051151	0	0	0.9493386	3.8474114	471.33987
483.26724	3.6058	0.009556904	0	0	0.9492069	4.327075	471.7402
467.70734	3.6059	0.010007078	0	0	0.94907516	4.689202	468.70963
475.59152	3.606	0.00982879	0	0	0.9489436	4.95077	464.54385
475.85403	3.6061	0.009848337	0	0	0.94881195	5.0776896	459.89163
465.5877	3.6062	0.01010348	0	0	0.9486804	4.985769	463.9098
463.25507	3.6063	0.0102524785	0	0	0.9485488	4.777504	464.97525
463.85794	3.6064	0.010214942	0	0	0.94841707	4.937386	464.68988
458.2503	3.6065	0.010442363	0	0	0.9482856	5.801753	463.95032
456.59055	3.6066	0.010479496	0	0	0.94815385	6.6728168	460.37094
448.68158	3.6067	0.0108148595	0	0	0.94802237	6.6692004	455.0645
445.60565	3.6068	0.010901128	0	0	0.94789076	6.941286	456.94104
468.34558	3.6069	0.010147905	0	0	0.9477592	7.4288616	466.05164
465.52325	3.607	0.010172857	0	0	0.94762766	10.060836	467.87527
468.96365	3.6071	0.009957798	0	0	0.94749624	15.023283	466.3348
474.6311	3.6072	0.009841436	0	0	0.9473647	16.707405	465.17188
474.61618	3.6073	0.009788009	0	0	0.94723314	13.555225	464.03903
475.05652	3.6074	0.009833552	0	0	0.9471016	9.090154	462.22327
